business_id,contact_id,type,country_name,postal_district,default_payment_terms,currency
"b78bcbbf58dbf86b6771f63058ae837df1865d5e0bc0ec9bf9d6c215ce3cf73e","12","CUSTOMER","Spain","SW1",10,"EUR"
"abb8ceeb934339450fa0f66da6228c2c65853ce890a87597a3ed75cc1b8fca65","2","CUSTOMER","United Kingdom","NE3",120,"GBP"
"378a5fffa7c36c199d972753294cba1415faced2be0e7285173df933cc1b7ea2","4","CUSTOMER","Italy","DT11",20,"EUR"
"43e57fa7613a31a8098a46def2c02c3e7110777a8c0ac2799f71f5b1853b055e","15","CUSTOMER","Spain","LL20",120,"EUR"
"5c63a33a256eb5e56264fee91ad51140072e7547507c1f23c5996d8e5d5b0242","1","CUSTOMER","United Kingdom","AB43",120,"GBP"
"1899c377cbe5562cd601529fc6fb59e25f53ee7d3d16fbb25949a6edfb2d3fb3","23","SUPPLIER","USA","LL20",60,"USD"
"4389e0bc56d1682d0daed6501c581afc5f28adef13f66283615ceea77e92a0cb","14","SUPPLIER","Spain","NE3",120,"EUR"
"b8821cef06839792c5b5e65f97b75bcc78acae459e88bf6dc53aa3ebceed4564","38","SUPPLIER","Italy","LL20",90,"EUR"
"e61b211c81b3bd47745f160cc928a5057233f2a4c6107770ad66d27a2d847606","9","SUPPLIER","France","AB43",60,"EUR"
"b451e6f1c5be3b4331396acc8c0c3b075bfa42f7b4988e14b7c0f67f99b292d3","36","CUSTOMER","Spain","SW1",30,"EUR"
"0fb822ea79f38dae5e35d4842a81bf74ee10d7e131c963039683165154f5892e","21","CUSTOMER","USA","AB43",20,"USD"
"72c385adb7eba56460e76963a65f74c4ac09e4ac4a5f6664dee0e70651c462d2","12","SUPPLIER","France","NE3",90,"EUR"
"dba8deb6e76acb5ddee631be275c5265c5d78b6d60d53f0a9a7b6b85c2db7c11","11","CUSTOMER","Spain","EX37",60,"EUR"
"283905797b9e55611dec8be4147a62efdac19cd142d061ef8d03f5f9d1183d1d","19","SUPPLIER","Italy","AB43",90,"EUR"
"401805e3b1d0bbeed8928ad5d3263555c1158ab1adeca1d0c8ffedb311e91732","15","SUPPLIER","Italy","CM4",20,"EUR"
"ac971ae14058f6ba7fb6ceb2decfef6d95ef7329371d7f9d6e6e49c4770e44d3","28","CUSTOMER","USA","NE3",60,"USD"
"5327dd946b51d71c9d1d2a564192d48d61226f13ab4184231a0422cbd0db4889","6","SUPPLIER","USA","HA4",30,"USD"
"bb31c62bf0d6bf3e7d922fbccdaef390a5d778ee7f1d7a994cc4676e7442d495","4","SUPPLIER","United Kingdom","EX37",10,"GBP"
"8435521a12b57cae5a5adefe6ab14c9525f430ddf6deea5769a3805db31a23d9","34","CUSTOMER","Norway","SW1",10,"NOK"
"803cd0dc58d423e620db58c05a1e0ca1bd43bbc3bf4c358a400b2f2011ddd506","25","CUSTOMER","Norway","CM4",10,"NOK"
"96c6e79195d059fcea80caf98ed7d11e37f5a594966fc0e9e9a59bb19aee5448","31","CUSTOMER","Norway","DT11",120,"NOK"
"ec22227204a6a683f22d4fa8890d218e910f02a7011ecd6f75206de4f54ab09a","9","SUPPLIER","Norway","DT11",20,"NOK"
"2c417f35e1eb4e0ff8af03c0f4a946203b432e5e2c5ce8a539eb23bc1d0ee526","29","SUPPLIER","Italy","EX37",60,"EUR"
"d73cd5a93e5fcdfe7add3b2d3649e89fc9d3b97ceb74428965275c07ddfd314f","16","SUPPLIER","United Kingdom","NE3",20,"GBP"
"db9c21613caa51b362f30f2f165d0773639627dbe219250abb8c8d4e1b48e284","13","SUPPLIER","USA","SW1",90,"USD"
"0be06b57d61720a78ef32edabeee0241929424811bb84f6d03666ee426c36652","24","SUPPLIER","Italy","LL20",30,"EUR"
"f114d44b77897d3173add5ccf6ec75f1318d8c0f15ad6dce77bc17cbe2f54561","1","SUPPLIER","Spain","CM4",30,"EUR"
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e","32","SUPPLIER","USA","CM4",60,"USD"
"503128a27876056ba897a6f885807418a96cc4208c5570da638b1d1914d96ed1","31","SUPPLIER","France","DT11",30,"EUR"
"305c2e467959168beca41e718ccb5ee33f8f1795c870a041e2b3427d0d920b04","38","SUPPLIER","Norway","CM4",30,"NOK"
"1e02d7d908ab16c4dcad5e759b24bce951ae5351253c34d4088592421f4ce007","21","CUSTOMER","USA","AB43",30,"USD"
"45f43b72869de671be07cf04c6fe3c2f725e5b94795f868099191731cc3de385","23","CUSTOMER","Norway","EX37",10,"NOK"
"e23dbf85668303efd67a3bb97eefe256c0db89196df3d4d492fed1f15f790d79","16","SUPPLIER","United Kingdom","SW1",90,"GBP"
"fcda85d46b12d020375d586b89ff2b0c608ecc11e9c878bb6b5c156c4e87475a","18","CUSTOMER","Spain","HA4",20,"EUR"
"8d12b6f3f87475ee7197496154682fec844ec63b05836bc978338185e1e54759","12","SUPPLIER","United Kingdom","HA4",90,"GBP"
"b698c102b3d87c37883c0f91c919f92b5e95684999d8f9fe41489e79eab44a8f","4","CUSTOMER","France","DT11",10,"EUR"
"26f94507172b370ab2568ef5139e96967703d52d1a981265b61de009771f35b9","28","CUSTOMER","France","LL20",10,"EUR"
"04b6ba9cd887cdfdef8462fd661dc6120b785ef806e776111ac0dedca70b5efe","38","CUSTOMER","France","HA4",120,"EUR"
"32835c9c367308df45bf886650042712ce4307453c070573c4083ff3960850a0","24","CUSTOMER","France","EX37",20,"EUR"
"c2ca6291f6ddce027649e7e86bcdb38492b91f19d8592fa5bf6ba874629f4c74","5","CUSTOMER","Norway","HA4",120,"NOK"
